gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
DDIT3,3,2,0.2883995956934875,0.36849894929512583,True
DDIT4,3,3,0.716642233070797,0.716642233070797,True
DDX1,3,2,0.11901865397295157,-0.41776238715064373,True
DDX24,3,2,0.07932843486756447,-0.4265053021672829,True
DDX25,3,2,-0.24025307697861673,-0.5717133976742828,True
DDX27,3,2,0.27854822270575025,0.26844201366219655,True
DENND2A,3,2,0.43552078411928424,0.36461759912682634,True
DENND2C,2,2,0.36107879820091915,0.36107879820091915,True
DENND5A,3,2,0.5379905841233761,0.7295929933338128,True
DENR,3,2,0.2280093754293985,0.29903231356396986,False
DEPDC5,3,2,0.018321273074113797,-0.21183136998837515,True
DEPP1,3,2,0.9225597113104563,1.0515326527743845,True
DGAT2,2,2,0.37959013673532005,0.37959013673532005,True
DHPS,3,2,0.23094106427366867,-0.13872763366503982,True
DHRS3,3,2,0.6197647594063774,0.8340683570467466,True
DHRS7B,3,2,0.0011087896487536792,-0.15954715317603907,True
DHX30,3,2,0.07483354985482471,-0.2210226790205434,True
DHX35,3,2,0.08035342943062036,-0.27013552103933747,True
DHX38,3,2,0.18020823813428333,0.04397941168490904,False
DIPK1B,3,2,0.014464900444779735,-0.21316472861315905,True
DIRAS1,3,2,-0.22310733922683093,-0.3775621896332062,True
DIRAS2,3,3,-0.14283580287934447,-0.14283580287934447,False
DKK3,3,3,0.14699466793929142,0.14699466793929142,False
DLAT,3,2,-0.02428770460596456,-0.34494522334662214,True
DLD,3,2,0.007856207298812498,-0.34133705579286655,True
DLL1,3,2,0.6323672442999677,0.8569569092922602,True
DLL4,2,2,0.699569827690026,0.699569827690026,True
DMXL1,3,2,-0.07811012120951884,-0.24869956990757158,True
DMXL2,3,2,0.003974021904117109,-0.4225501432809802,True
DNAAF2,3,2,0.03103996416388159,-0.15872198509217572,True
DNAJA1,3,2,0.550381214744761,0.7322921121051307,True
DNAJA2,3,2,0.0620563001707047,-0.29918444681366774,True
DNAJA3,3,2,0.2407922041457707,-0.15885766118786826,True
DNAJB1,3,2,1.1009004077606257,1.131537005363971,True
DNAJB11,3,2,0.5848279491759792,0.8300951106069163,True
DNAJB4,3,2,0.4015502756161215,0.33762079621651453,True
DNAJC18,3,2,0.016680597752979292,-0.34021528515195065,True
DNAJC27,3,2,0.13529417734947438,-0.21366140524957533,True
DNASE1L1,3,2,0.014400638612876401,-0.2904714530051671,True
DNM1,3,2,-0.19056527219691333,-0.4958643812512271,True
DNM1L,3,2,0.046236034439716356,-0.42332522614646484,True
DOK1,2,2,0.509805998347024,0.509805998347024,True
DOP1A,3,2,0.07700143262975523,-0.3080810100496274,True
DPP10,3,2,-0.24350988825275235,-0.5481711969525933,True
DPP6,3,2,0.23966841046619317,-0.27279660069580647,True
DPP8,3,2,0.01739966438109075,-0.391246006286051,True
DPYSL3,3,3,0.8338988347579891,0.8338988347579891,True
DRG1,3,2,0.1406151776515069,-0.2501739455810066,True
DSE,3,3,0.6413088329487127,0.6413088329487127,True
DSP,2,2,0.49201778582448696,0.49201778582448696,True
DSTN,3,2,0.16042949685772948,0.2788524127769776,False
DTD1,3,2,-0.008563541535823541,-0.33258237848722416,True
DTNA,3,2,0.6668572213037116,0.5163805395469101,True
DTWD2,3,2,0.21471347212501968,0.2601792292548373,False
DTX2,3,2,0.6836233822783832,0.6140046312375034,True
DUSP18,3,2,0.6167962513027937,0.4982305039350262,True
DUSP3,3,2,0.17687285677950695,0.3199929269737489,False
DYNC1H1,3,2,0.09165506928664276,-0.2103163287294718,True
