gene,cluster_id
CIMAP1B,245
CIMAP3,178
CINP,3
CIP2A,665
CIRBP,783
CISD1,286
CISD2,414
CISD3,-1
CIZ1,417
CKAP2L,262
CKAP4,236
CKAP5,236
CKB,580
CKMT1A,634
CKMT2,234
CKS1B,683
CKS2,674
CLASP1,539
CLASRP,459
CLCA2,659
CLCN1,108
CLCN3,151
CLCN5,289
CLCN6,2
CLCNKB,355
CLDN1,16
CLDN11,381
CLDN12,709
CLDN17,348
CLDN23,476
CLDN3,742
CLDN5,585
CLDN8,420
CLEC14A,8
CLEC2B,258
CLEC2L,108
CLEC3A,522
CLEC4C,699
CLGN,307
CLIC3,259
CLIC5,173
CLIP3,393
CLIP4,372
CLK4,561
CLMB,719
CLMN,261
CLMP,172
CLN3,780
CLN5,323
CLN8,34
CLNS1A,627
CLP1,406
CLPB,536
CLPP,659
CLPX,763
CLSTN1,44
CLSTN2,476
CLTRN,-1
CLU,91
CLUH,404
CLXN,511
CLYBL,164
CMAS,449
CMBL,13
CMC2,320
CMC4,224
CMIP,241
CMKLR2,776
CMPK2,155
CMSS1,538
CMTM3,559
CMTM4,123
CMTM6,102
CMTR1,597
CMTR2,653
CMYA5,336
CNBP,475
CNDP1,635
CNEP1R1,97
CNFN,54
CNGA1,346
CNIH4,487
CNKSR2,248
CNN1,9
CNN2,641
CNNM4,203
CNOT10,806
CNOT11,483
CNOT2,697
CNOT4,730
CNOT6,286
CNOT6L,91
CNOT7,357
CNOT8,452
CNP,325
CNPY2,112
CNPY4,342
CNR1,327
CNRIP1,123
CNTLN,358
CNTN3,388
CNTN4,94
CNTNAP2,677
CNTNAP3,83
CNTNAP3B,94
COA3,395
COA4,236
COA5,36
COA6,732
COA7,704
COA8,601
COASY,290
COBL,326
COBLL1,489
COCH,530
COG4,37
COG5,253
COG8,643
COL12A1,768
COL13A1,218
COL15A1,265
COL16A1,-1
COL17A1,32
COL1A1,-1
COL21A1,94
COL28A1,686
COL4A1,46
COL4A5,548
COL6A1,392
COL8A1,94
COL8A2,261
COL9A3,355
COLEC12,358
COLGALT2,-1
COMMD1,447
COMMD2,342
COMMD6,784
COMMD7,398
COMMD8,773
COMMD9,529
COMP,348
COMT,356
COMTD1,245
COP1,554
COPB1,353
COPB2,324
COPE,97
COPS3,105
COPS5,394
COPS6,108
COPS7A,92
COPZ2,277
COQ10B,431
COQ3,93
COQ8A,663
COQ9,201
CORO1A,525
CORO1C,501
CORO2A,221
CORO2B,-1
CORT,763
COTL1,535
COX11,293
COX16,131
COX19,418
COX20,530
COX4I1,240
COX5A,683
COX5B,-1
COX6B1,399
COX7A1,110
COX7A2,552
COX7B,432
COXFA4,271
COXFA4L3,107
CP,381
CPA2,112
CPA4,73
CPE,691
CPEB1,790
CPEB4,353
CPED1,612
CPLANE1,53
CPLX3,-1
CPNE1,112
CPNE2,314
CPNE3,244
CPNE7,647
CPNE8,216
CPNE9,55
CPQ,579
CPSF3,394
CPSF6,11
CPTP,653
CRABP1,84
CRABP2,38
CRACDL,214
CRACR2A,299
CRACR2B,486
CRAT,428
CRB3,448
CRBN,744
CRCT1,433
CREB3,548
CREB3L1,374
CREB3L2,578
CREBBP,654
CREBL2,566
CREBRF,629
CREBZF,742
CRELD1,115
CRELD2,796
CRIM1,281
CRIP1,686
CRIP2,51
CRIPT,283
CRISP2,381
CRISPLD1,251
CRLF2,85
CRLF3,694
CRLS1,778
CRNN,-1
CROCC,604
CROT,567
CRTAM,258
CRTAP,144
CRTC2,600
CRTC3,359
CRY2,214
CRYAB,69
CRYBB2,596
CRYBB3,482
CRYBG1,236
CRYL1,211
CRYZL1,229
CSDE1,494
CSF1R,741
CSF2RA,690
CSF2RB,315
CSK,665
CSKMT,79
CSMD1,130
CSNK1A1,529
CSNK1G2,142
CSNK2B,748
CSPG4,94
CSPP1,372
CSRNP1,134
CSRNP3,229
CSRP1,788
CST6,346
CST7,303
CSTA,491
CTAG2,425
CTBP1,5
CTBP2,392
CTC1,335
CTDP1,609
CTDSP1,390
CTDSP2,438
CTDSPL,734
CTDSPL2,116
CTLA4,125
CTNNAL1,801
CTNNB1,44
CTNNBIP1,436
CTNNBL1,383
CTPS1,260
CTPS2,585
CTR9,39
CTSA,757
CTSB,641
CTSD,315
CTSF,658
CTSK,607
CTSL,689
CTSS,258
CTSV,366
CTSW,412
CTTN,572
CTTNBP2,436
CUL1,472
CUL2,490
CUL3,509
CUL4A,160
CUTA,693
CUX2,419
CWC27,324
CWF19L2,229
CWH43,725
CXCL1,717
CXCL10,799
CXCL11,132
CXCL12,392
CXCL13,750
CXCL14,589
CXCL16,480
CXCL17,107
CXCL3,108
CXCL6,484
CXCL8,718
CXCL9,750
CXCR2,54
CXCR3,102
CXCR4,725
CXCR6,777
CXXC1,437
CXXC4,559
CXXC5,188
CXorf65,77
CYB561D2,400
CYB5A,598
CYB5B,161
CYB5R1,522
CYB5R2,40
CYB5R3,115
CYB5R4,35
CYBB,371
CYBC1,683
CYBRD1,714
CYC1,273
CYCS,450
CYFIP1,338
CYLD,56
CYP1A1,369
CYP20A1,401
CYP24A1,433
CYP26B1,252
CYP27A1,658
CYP27B1,674
CYP27C1,712
CYP2C18,107
CYP2E1,153
CYP2J2,172
CYP2U1,531
CYP39A1,83
CYP3A4,392
CYP3A5,358
CYP4B1,52
CYP4F11,502
CYP4F12,139
CYP4F22,632
CYP4F3,414
CYP4F8,209
CYP4V2,62
CYP4X1,89
CYP7B1,564
CYREN,401
CYS1,63
CYSLTR1,546
CYSRT1,303
CYSTM1,16
CYTH2,331
CYTH3,270
CYTIP,540
CYYR1,708
DAAM2,656
DAB2,664
DAB2IP,373
DACH1,83
DACT1,206
DACT2,548
DACT3,244
DAG1,740
DAP,499
DAPK1,196
DAPL1,684
DARS2,320
DAZ4,52
DBF4,725
DBI,507
DBN1,70
DBR1,554
DBT,759
DCAF1,293
DCAF11,550
DCAF12,457
DCAF12L2,466
DCAF16,100
DCAF4,604
DCAF8,36
DCBLD2,135
DCD,181
DCHS1,586
DCLK1,612
DCLK2,232
DCLRE1B,713
DCN,584
DCP1A,559
DCP1B,511
DCP2,258
DCTD,458
DCTN3,370
DCTN6,45
DCTPP1,745
DCUN1D3,777
DCUN1D4,176
DCUN1D5,41
DDA1,249
DDAH1,94
DDAH2,788
DDHD2,306
DDIAS,737
DDIT3,548
DDIT4L,477
DDN,552
DDO,490
DDOST,748
DDR2,196
DDRGK1,311
DDTL,475
DDX17,784
DDX19B,1
DDX21,728
DDX24,547
DDX39A,-1
DDX3X,498
