gene,cluster_id
BLMH,253
BLNK,188
BLOC1S1,-1
BLOC1S3,648
BLTP1,591
BLTP3A,-1
BLTP3B,456
BLVRB,471
BLZF1,291
BMAL1,118
BMAL2,58
BMF,233
BMP2,38
BMP2K,121
BMP3,531
BMP4,721
BMP5,38
BMP6,334
BMP7,315
BMPR2,457
BMS1,325
BMX,263
BNIP2,330
BNIP3,342
BNIP3L,755
BOD1,791
BOD1L1,801
BOK,10
BOLA2B,685
BORA,323
BORCS5,375
BORCS7,29
BPIFB2,313
BRAT1,209
BRCA1,654
BRCA2,655
BRD2,560
BRD3,651
BRD3OS,568
BRD4,595
BRD7,723
BRD8,211
BRD9,502
BRI3,731
BRINP3,171
BRIP1,216
BRIX1,777
BRMS1,379
BRMS1L,663
BRPF1,378
BRPF3,-1
BRWD1,637
BRWD3,440
BSG,336
BSPRY,159
BST1,108
BST2,71
BTBD1,492
BTBD3,584
BTBD7,724
BTD,250
BTF3L4,254
BTG1,227
BTG2,798
BTG3,269
BTK,85
BTLA,405
BTN3A1,662
BTN3A2,645
BTN3A3,580
BTNL3,152
BTNL8,108
BUB1,567
BUB1B,394
BUB3,53
BUD13,91
BUD23,778
BUD31,79
BYSL,719
BZW1,183
BZW2,625
C10orf143,227
C11orf58,499
C11orf71,319
C11orf86,150
C11orf96,256
C11orf98,70
C12orf43,775
C12orf57,148
C12orf75,289
C12orf76,496
C14orf132,303
C15orf40,510
C16orf46,593
C16orf54,306
C16orf89,427
C16orf95,67
C17orf75,610
C19orf12,701
C19orf18,511
C19orf25,27
C19orf33,60
C19orf53,778
C1GALT1,7
C1GALT1C1,92
C1GALT1C1L,459
C1QA,231
C1QC,506
C1QTNF1,332
C1QTNF12,408
C1QTNF2,388
C1QTNF5,595
C1QTNF7,260
C1RL,796
C1orf115,74
C1orf174,124
C1orf198,425
C1orf21,51
C1orf210,691
C1orf216,455
C1orf226,397
C1orf35,507
C1orf52,479
C1orf74,17
C2,142
C22orf39,782
C2CD2,690
C2CD4A,674
C2orf49,560
C2orf68,278
C2orf72,692
C2orf74,336
C3,32
C3orf38,16
C3orf70,429
C3orf80,462
C3orf85,262
C4BPA,-1
C4BPB,365
C4B_2,410
C4orf33,229
C5AR1,474
C5orf15,77
C5orf24,-1
C5orf34,10
C6,201
C6orf120,574
C6orf132,153
C6orf136,513
C6orf89,759
C7,531
C7orf25,-1
C8orf33,302
C8orf76,379
C8orf82,-1
C8orf88,518
C9orf152,401
C9orf72,295
C9orf78,140
CA1,73
CA10,313
CA12,145
CA2,73
CA4,73
CA7,245
CA9,689
CAB39,518
CABLES2,653
CACFD1,373
CACNA1D,595
CACNA1G,683
CACNA2D3,388
CACNA2D4,476
CACNB2,467
CACTIN,-1
CACYBP,329
CAD,213
CADM1,308
CADM2,549
CADPS,142
CALCOCO2,570
CALD1,295
CALHM2,417
CALHM6,257
CALM1,467
CALM3,471
CALML4,135
CALR,376
CALU,300
CAMK1D,88
CAMK2D,522
CAMK2G,434
CAMK2N1,486
CAMKK1,225
CAMKMT,426
CAMLG,18
CAMSAP1,726
CAMSAP2,442
CAMTA1,615
CAND2,402
CANX,211
CAPG,669
CAPN13,306
CAPN15,71
CAPN2,134
CAPN5,692
CAPN7,62
CAPN9,428
CAPZA2,237
CARD16,476
CARD6,332
CARF,44
CARHSP1,219
CARM1,304
CARS1,221
CARS2,446
CARTPT,437
CASD1,3
CASK,53
CASP1,369
CASP2,53
CASP5,101
CASP7,3
CASP8AP2,96
CASP9,794
CASQ2,313
CASS4,230
CAST,431
CASZ1,433
CAT,229
CATSPERB,795
CAV1,402
CAV2,278
CAVIN1,33
CAVIN2,38
CBFA2T2,184
CBFA2T3,319
CBFB,770
CBL,410
CBLC,637
CBLIF,768
CBLL1,443
CBLN2,629
CBR1,406
CBR3,614
CBR4,490
CBX1,698
CBX3,352
CBX4,274
CBX7,260
CBX8,660
CC2D2A,237
CCAR1,344
CCDC107,407
CCDC110,405
CCDC112,574
CCDC124,621
CCDC13,467
CCDC134,130
CCDC137,326
CCDC138,441
CCDC159,233
CCDC167,634
CCDC17,592
CCDC178,583
CCDC186,477
CCDC191,618
CCDC22,34
CCDC25,35
CCDC28A,697
CCDC3,296
CCDC30,448
CCDC32,582
CCDC34,689
CCDC43,498
CCDC50,48
CCDC51,559
CCDC57,487
CCDC59,19
CCDC6,246
CCDC68,152
CCDC69,110
CCDC71L,498
CCDC74B,297
CCDC77,720
CCDC85B,719
CCDC86,414
CCDC90B,172
CCDC92,321
CCDC9B,286
CCL13,306
CCL19,262
CCL20,297
CCL21,163
CCL23,262
CCL24,271
CCL26,752
CCL28,74
CCL3L3,100
CCL4,239
CCL5,147
CCL8,261
CCM2,662
CCN1,727
CCN2,249
