gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
DCC,3,2,0.010622428934955167,-0.04546558031462189,True
DCHS2,3,2,-0.013490418549975394,-0.08588279281513818,True
DEDD,3,2,-0.0029596117947752834,0.034455420682858465,True
DGKI,3,2,-0.10586146225288451,-0.13410328916781328,True
DLG2,3,3,-0.17185919128757396,-0.17185919128757396,True
DOCK1,3,3,0.21180015993553894,0.21180015993553894,True
DOCK4,3,2,0.019696147197412136,0.03118417443462542,True
DSG2,3,2,0.1261050383084857,0.1694160781470098,True
ECHDC3,3,3,0.21746570801580267,0.21746570801580267,True
EFNA5,3,2,0.07487766692107874,0.1261387917645412,False
EGFLAM,3,3,0.13457786528668816,0.13457786528668816,True
EGFR,3,2,0.10601959598874122,0.12935268440144482,True
EGLN3,3,2,0.12114375872236625,0.1829734278077147,True
ELOVL3,3,2,-0.03042531331526385,-0.030227236587936197,True
ENOPH1,3,3,-0.16682687438921562,-0.16682687438921562,True
ETV1,3,3,-0.23948321376098902,-0.23948321376098902,True
EXOC3L2,3,2,0.03833668778155692,0.024746132715134185,True
EXOC4,3,2,-0.003293500125661588,-0.043609686875830736,True
FABP6,3,2,-0.08910173252310181,-0.15700092839730448,True
FAM135B,3,2,0.06619012768460153,0.11031357090303631,False
FANCD2,3,2,0.0784197865784517,0.04590947765986726,True
FANCD2OS,3,2,-0.013552337935916953,0.021332076408939096,True
FAR2,3,2,-0.13293271940207677,-0.22816178795208797,True
FARP1,3,3,0.06967216136918143,0.06967216136918143,False
FBP1,3,2,0.09580234557496072,0.07481022736217777,True
FBXL7,3,2,0.14143401137700473,0.20964915890622782,True
FBXO32,3,2,0.11600403812841627,0.09800441346208776,True
FBXO40,3,2,0.0007401337320232654,-0.06193411682651274,True
FBXW10,2,2,0.058441401475720384,0.058441401475720384,True
FLNB,3,2,0.08919906306308582,0.11227380001108277,True
FOXP2,3,2,-0.04917039047555294,-0.080809574109443,True
FRMD4B,3,2,-0.005768453439994122,0.03675799727458964,True
FSTL5,3,3,-0.2664787492599932,-0.2664787492599932,True
FTH1P5,2,2,0.10086232200555764,0.10086232200555764,True
GABRG3,3,2,-0.05758331474149658,-0.14201767848973668,True
GALNT15,3,3,0.2318766995827911,0.2318766995827911,True
GATAD2A,3,2,0.017433074498466834,0.06642948625073908,True
GEMIN7,3,3,-0.15302387043497653,-0.15302387043497653,True
GPC6,3,2,0.05314220014706276,0.04919067169217778,True
GPR141,3,2,-0.008102397116548593,-0.029875438492229296,True
GRIK2,3,3,-0.1855769677278326,-0.1855769677278326,True
GRK5,3,2,-0.06373266575388548,-0.053348311002720306,True
GRM8,3,2,-0.016099832727649144,-0.16576991966068944,True
H4C8,3,3,-0.008788891158133453,-0.008788891158133453,False
HACL1,3,3,-0.2394510146292775,-0.2394510146292775,True
HBEGF,3,2,0.029236899085162322,0.061898659479491414,True
HCN1,3,3,-0.11183523688148671,-0.11183523688148671,False
HLA-DRA,3,3,0.40764472702518556,0.40764472702518556,True
HLA-DRB1,3,2,0.2516083417545654,0.2513313693429198,True
HS3ST1,3,2,-0.09632128912889915,-0.08586269793387656,True
ICE1,3,2,-0.019054923345354913,-0.04889853625449772,True
IGHG3,2,2,0.07378424030114705,0.07378424030114705,True
IMMP2L,3,3,0.013455071408355982,0.013455071408355982,False
