Riker Engine — Stability Profiling Report
============================================================

Config: /home/kai001/riker-engine/disease_days/2026-05-02_crc_v0332/blind_pc/config.yaml
Runs attempted: 50
Runs successful: 50
Total time: 70764.4s (1179.4m)

Core gene counts across runs:
  Min: 5994
  Max: 6057
  Mean: 6027.4
  Variance: ±31.5 genes (0.5%)

Unique genes seen: 6192
  Iron-clad (>=90% of runs): 5748
  Borderline (50-89%):       393
  Stochastic (<50%):         51

Iron-clad genes (5748):
  CASP1: 50/50 (100%)
  CASP2: 50/50 (100%)
  CASP5: 50/50 (100%)
  CASP7: 50/50 (100%)
  CAST: 50/50 (100%)
  CAT: 50/50 (100%)
  CATSPERB: 50/50 (100%)
  CAV1: 50/50 (100%)
  CAV2: 50/50 (100%)
  CAVIN1: 48/50 (96%)
  CAVIN2: 50/50 (100%)
  CBFA2T3: 50/50 (100%)
  CBFB: 50/50 (100%)
  CBLL1: 50/50 (100%)
  CBLN2: 50/50 (100%)
  CBR1: 50/50 (100%)
  CBR4: 50/50 (100%)
  CBX1: 50/50 (100%)
  CBX3: 50/50 (100%)
  CBX4: 50/50 (100%)
  CBX7: 49/50 (98%)
  CBX8: 50/50 (100%)
  CCDC107: 50/50 (100%)
  CCDC110: 50/50 (100%)
  CCDC124: 50/50 (100%)
  CCDC134: 50/50 (100%)
  CCDC137: 50/50 (100%)
  CCDC167: 50/50 (100%)
  CCDC186: 50/50 (100%)
  CCDC28A: 50/50 (100%)
  CCDC3: 50/50 (100%)
  CCDC32: 50/50 (100%)
  CCDC34: 50/50 (100%)
  CCDC43: 50/50 (100%)
  CCDC50: 49/50 (98%)
  CCDC51: 45/50 (90%)
  CCDC57: 50/50 (100%)
  CCDC59: 50/50 (100%)
  CCDC68: 50/50 (100%)
  CCDC69: 50/50 (100%)
  CCDC71L: 50/50 (100%)
  CCDC74B: 50/50 (100%)
  CCDC77: 50/50 (100%)
  CCDC85B: 50/50 (100%)
  CCDC86: 50/50 (100%)
  CCDC92: 50/50 (100%)
  CCDC9B: 50/50 (100%)
  CCL19: 50/50 (100%)
  CCL20: 50/50 (100%)
  CCL21: 50/50 (100%)
  CCL23: 50/50 (100%)
  CCL24: 50/50 (100%)
  CCL28: 50/50 (100%)
  CCL5: 50/50 (100%)
  CCL8: 50/50 (100%)
  CCN1: 50/50 (100%)
  CCN2: 50/50 (100%)
  CCN4: 50/50 (100%)
  CCN6: 48/50 (96%)
  CCNA2: 50/50 (100%)
  CCNB1: 50/50 (100%)
  CCNB1IP1: 50/50 (100%)
  CCNB2: 50/50 (100%)
  CCND1: 50/50 (100%)
  CCNDBP1: 50/50 (100%)
  CCNE1: 50/50 (100%)
  CCNE2: 49/50 (98%)
  CCNF: 48/50 (96%)
  CCNG1: 50/50 (100%)
  CCNG2: 48/50 (96%)
  CCNH: 48/50 (96%)
  CCNJ: 50/50 (100%)
  CCNJL: 50/50 (100%)
  CCNO: 50/50 (100%)
  CCNQ: 50/50 (100%)
  CCNYL1: 50/50 (100%)
  CCPG1: 50/50 (100%)
  CCR10: 49/50 (98%)
  CCR2: 50/50 (100%)
  CCS: 50/50 (100%)
  CCSAP: 50/50 (100%)
  CCSER2: 50/50 (100%)
  CCT2: 50/50 (100%)
  CCT4: 50/50 (100%)
  CCT5: 50/50 (100%)
  CCT6A: 50/50 (100%)
  CCT6B: 50/50 (100%)
  CCT7: 50/50 (100%)
  CCT8: 50/50 (100%)
  CCZ1B: 50/50 (100%)
  CD14: 50/50 (100%)
  CD160: 50/50 (100%)
  CD163L1: 47/50 (94%)
  CD164: 50/50 (100%)
