hgnc_symbol,cluster_id,dataset,tissue,log2fc,pvalue,direction,discovery_direction,concordant,significant,eliminated
LINGO1,6,GSE15222,brain,-0.4030805401387241,3.2087590584595205e-08,down,down,True,True,False
ADAMTS20,11,GSE15222,brain,0.26244185938635756,0.041774855691296686,up,up,True,True,False
ZNF462,4,GSE15222,brain,0.6737977714387906,0.0,up,up,True,True,False
ZNF652,4,GSE15222,brain,,,,up,,False,False
TUSC1,6,GSE15222,brain,,,,down,,False,False
ARMH3,4,GSE15222,brain,0.09891076110946795,0.011789003204885073,up,up,True,True,False
TMEM106B,10,GSE15222,brain,0.23075172042468228,0.002846252721294018,up,up,True,True,False
ATP6V1B2,13,GSE15222,brain,-0.42870630722421055,1.9984014443252818e-14,down,down,True,True,False
PGM5,11,GSE15222,brain,,,down,up,False,False,False
SLC2A13,16,GSE15222,brain,-inf,,down,down,True,False,False
SEPTIN10,25,GSE15222,brain,-inf,,down,up,False,False,False
MYO16,6,GSE15222,brain,,,,down,,False,False
PTPRN2,16,GSE15222,brain,,,,down,,False,False
RHPN2,25,GSE15222,brain,0.18519560562103887,0.003907029529738315,up,up,True,True,False
CDKAL1,12,GSE15222,brain,inf,,up,up,True,False,False
DEDD,11,GSE15222,brain,0.09532375356107714,0.007665370371396696,up,up,True,True,False
CELF1,25,GSE15222,brain,0.33528895037017925,4.24052459324642e-06,up,up,True,True,False
TENM2,6,GSE15222,brain,,,,down,,False,False
FRAT2,25,GSE15222,brain,0.3647919881323771,0.0,up,up,True,True,False
SYT1,24,GSE15222,brain,-0.8832413244025652,1.4731549313751202e-11,down,down,True,True,False
SORT1,10,GSE15222,brain,0.4846124217143082,1.3734443360391424e-08,up,up,True,True,False
CLNK,10,GSE15222,brain,,,,up,,False,False
DLAT,14,GSE15222,brain,-0.26254912012916254,1.220335503759884e-07,down,down,True,True,False
YAP1,4,GSE15222,brain,0.2941990121815472,6.710191747627547e-05,up,up,True,True,False
SNX18,4,GSE15222,brain,,,,up,,False,False
PYGL,26,GSE15222,brain,0.15699750908488141,0.039018685757890914,up,up,True,True,False
OSBP2,4,GSE15222,brain,0.2780829411749077,0.0070418798215112766,up,up,True,True,False
OLFM3,13,GSE15222,brain,,,,down,,False,False
SQSTM1,11,GSE15222,brain,,,,up,,False,False
CTNND2,11,GSE15222,brain,-0.07045704467766534,0.08907382046852197,down,up,False,False,False
BSCL2,10,GSE15222,brain,-0.2604256048277538,2.482014593852e-12,down,up,False,True,True
CLASRP,4,GSE15222,brain,0.022144782304717836,0.7438112114135087,up,up,True,False,False
TARDBP,10,GSE15222,brain,0.237294303061109,9.033381798140283e-08,up,up,True,True,False
SLC25A11,14,GSE15222,brain,-0.16602987054710105,1.6911154130383466e-06,down,down,True,True,False
PHYHD1,25,GSE15222,brain,,,,up,,False,False
PUM3,12,GSE15222,brain,0.04199448715481768,0.38998397471277446,up,up,True,False,False
NDUFV1,8,GSE15222,brain,-0.19132973566653177,8.272227347561056e-11,down,down,True,True,False
CHRM3,16,GSE15222,brain,-0.3532368492593747,0.006611099825196476,down,down,True,True,False
PLEC,25,GSE15222,brain,0.43017419476269225,4.440892098500626e-16,up,up,True,True,False
STK32B,11,GSE15222,brain,-0.04506081680038054,0.5210148359095901,down,up,False,False,False
RAD23B,6,GSE15222,brain,-0.23396930889792245,9.678782802957642e-05,down,down,True,True,False
SMARCA2,6,GSE15222,brain,inf,,up,down,False,False,False
PDE4D,11,GSE122063,brain,-0.5619314965470785,5.360600852100106e-12,down,down,True,True,False
