cluster_id,gene,GSE33000_p,GSE33000_q,GSE5281_p,GSE5281_q,GSE132903_p,GSE132903_q,GSE63060_p,GSE63060_q,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr
10,STAU1,0.0,1e-300,0.0480010852968648,0.07123835980453434,0.1708113083911859,0.20208661837830447,0.7504266187702424,0.9408333727865726,2,1,2
10,TARDBP,0.0,1e-300,0.0037851710045995,0.007754984497228244,0.0850637372692983,0.10446423875176984,0.5099743402794759,0.7856792676329087,2,2,2
11,NTRK2,0.0011511440788942,0.0013696331816871502,0.0383483601287579,0.058782157861599696,0.1390782449126941,0.16547553219074088,0.9398289886531348,1.0,2,1,2
11,PGM5,0.0002125236804382,0.00026175937180071557,0.2598881132639086,0.32778680952204686,1.814373876873887e-05,4.075064322390548e-05,0.2520754143213808,0.4993946887499054,2,2,2
11,ADAM10,0.0006884135677727,0.0008260962813272398,0.0087363328283678,0.015680597384249897,0.4384057124906628,0.4923272707114395,0.2019123528137507,0.42614667428027786,2,2,2
11,ADAMTS20,3.9411822694290777e-07,5.221755688202564e-07,0.2332845949859832,0.29781012125870193,4.1758480402664944e-05,8.682456321346177e-05,0.7019109363858727,0.9263782482812154,2,2,2
11,CDCA7,0.002719631393707,0.0031553734402125413,0.2904449369079924,0.3619788531197531,0.0235975906453553,0.031563656277226834,0.8006464225681924,0.9729801466972029,2,1,2
11,CEACAM22P,,1.0,,1.0,1.907679367363357e-06,5.103346078296879e-06,0.0444398592959873,0.15554344961143587,2,1,1
11,CNGB1,0.0,1e-300,0.5326165145303356,0.6114939355116363,0.0222863353373803,0.030000836031088867,0.1279518325750643,0.31611629224427645,2,1,2
11,CTNND2,0.0003135800674618,0.0003828593846917326,0.1059022881749309,0.14394485771349833,3.430965421546972e-05,7.205027385248641e-05,0.8165353846626693,0.9787391975538614,2,2,2
11,DEDD,1.6544415482044886e-07,2.2271328533521963e-07,0.0539194446584443,0.07729067152404985,0.0050799003689143,0.00748616896471581,0.4031320705343388,0.6665963371040248,2,2,3
11,DSG2,5.336322494997603e-10,7.623317849996575e-10,0.026377391124674,0.042446376522463906,0.5106804173395676,0.5644362507437326,0.256478015708077,0.5033680682121138,2,1,2
11,GNPNAT1,0.6277812660626483,0.657526513083073,3.6245655556932377e-06,1.3123427011992758e-05,3.377501330015242e-05,7.12839476686634e-05,0.3914669952781615,0.6576645520673113,2,2,2
11,LRP1B,1.653234357656963e-05,2.0977596079030952e-05,0.027130533559307,0.04332632735706821,,1.0,0.0592497471289177,0.19290615344298787,2,1,2
11,LUZP2,0.007935487667205,0.009007850865475946,0.1264644459151029,0.16969670058895595,0.0029435761676057,0.0045788962607199776,0.3024020774277538,0.5636654317403412,2,2,2
11,MAD1L1,1.7603846730995798e-05,2.2269926587404324e-05,0.0002164068191987,0.0005826337439965,0.2154923335115754,0.2514077224301713,0.9885522561024424,1.0,2,2,2
11,MSR1,6.117860236187767e-06,7.81003434406949e-06,0.0977994473403143,0.13467464879649838,4.094561578682488e-08,1.508522686883022e-07,0.9711461705893624,1.0,2,2,2
11,PDE10A,3.2473357336471054e-11,4.871003600470658e-11,0.0001852687880585,0.0005052785128868183,,1.0,0.3525474303260247,0.6169580030705433,2,2,2
11,PDE4D,6.440034461263623e-08,8.781865174450396e-08,0.0520802594545655,0.07568757429383222,0.0001541160917177,0.0002889676719706875,0.0202219115054744,0.08507556510167898,3,2,4
11,PIWIL1,5.066370878381576e-09,7.045946254702854e-09,0.3006659535504365,0.37032170232018574,0.0114864276368185,0.01618892485726097,0.7728133907147952,0.9523883328397347,2,1,2
11,RELB,0.4536449221713916,0.48235662610628977,0.0735394964467828,0.10295529502549593,6.666540669364451e-05,0.0001326989137977758,0.0001521255828844,0.0017033764378248945,2,2,2
11,SQSTM1,0.5264886333482328,0.5569904937185335,0.0022916329851283,0.005012947154968157,0.0972965603904074,0.11810565134095695,0.0030885768199508,0.019296350457362398,2,2,2
11,STK32B,4.1368568238553394e-05,5.186507062744007e-05,0.9061661806161696,0.939727891009361,4.7362023414265764e-08,1.7297434638253584e-07,0.0709837918220981,0.2159296356080335,2,2,2
11,ZNF232,0.6121343670810426,0.6443519653484658,0.0009077230994369,0.0022037208194421853,1.5406907412085502e-06,4.229347132729354e-06,0.0540061204861488,0.18002040162049598,2,2,2
12,AGAP1,0.0,1e-300,0.0051261102342814,0.010155501407538623,0.7998440599702665,0.8569757785395713,0.9738979545331832,1.0,2,2,2
