gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
FBN2,50,1.585944,0.000000,0.000000,3.065514e-01,up,1.0000
FBP1,50,-0.965673,0.000000,0.000000,6.822885e-02,down,1.0000
FBXL13,50,-0.742297,0.000000,0.000000,6.110332e-02,down,1.0000
FBXL16,50,-0.342246,0.000000,0.000000,9.583448e-14,down,1.0000
FBXL19,50,0.634170,0.000000,0.000000,3.474022e-02,up,1.0000
FBXL2,50,-0.291173,0.000000,0.000000,2.803491e-02,down,1.0000
FBXL20,45,-0.209744,0.000000,0.000000,1.036146e-10,down,1.0000
FBXL3,50,-0.254091,0.000000,0.000000,1.334788e-20,down,1.0000
FBXL4,50,-0.296743,0.000000,0.000000,6.220429e-11,down,1.0000
FBXL5,50,-0.103806,0.000000,0.000000,1.520157e-05,down,1.0000
FBXL7,50,-0.328376,0.000000,0.000000,1.399095e-04,down,1.0000
FBXO16,50,-0.520985,0.000000,0.000000,2.017231e-03,down,1.0000
FBXO17,50,-0.311690,0.000000,0.000000,1.029054e-12,down,1.0000
FBXO21,50,-0.306722,0.000000,0.000000,6.543247e-09,down,1.0000
FBXO22,50,0.047737,0.000000,0.000000,8.740524e-01,up,1.0000
FBXO25,49,0.236925,0.000000,0.000000,1.125862e-01,up,1.0000
FBXO28,49,-0.000759,0.000000,0.000000,9.952672e-01,down,1.0000
FBXO32,50,-1.009277,0.000000,0.000000,1.916543e-02,down,1.0000
FBXO45,50,1.311361,0.000000,0.000000,1.207745e-01,up,1.0000
FBXO46,50,0.688199,0.000000,0.000000,6.666791e-02,up,1.0000
FBXO5,50,0.927000,0.000000,0.000000,1.645658e-01,up,1.0000
FBXO6,50,1.466710,0.000000,0.000000,1.345165e-01,up,1.0000
FBXO7,50,-0.286025,0.000000,0.000000,8.758833e-03,down,1.0000
FBXO9,50,-0.077492,0.000000,0.000000,7.999115e-01,down,1.0000
FBXW11,50,0.396247,0.000000,0.000000,6.303722e-04,up,1.0000
FBXW4,50,-0.270713,0.000000,0.000000,8.147639e-04,down,1.0000
FBXW5,50,0.239302,0.000000,0.000000,1.324683e-02,up,1.0000
FBXW7,50,-0.262196,0.000000,0.000000,6.526747e-04,down,1.0000
FBXW9,50,0.443514,0.000000,0.000000,1.116871e-02,up,1.0000
FCER1A,49,-0.470644,0.000000,0.000000,5.821640e-12,down,1.0000
FCF1,50,-0.509831,0.000000,0.000000,5.017935e-02,down,1.0000
FCGBP,50,-0.681285,0.000000,0.000000,8.935421e-04,down,1.0000
FCGR3B,50,1.597745,0.000000,0.000000,3.196460e-02,up,1.0000
FCGRT,50,-0.351182,0.000000,0.000000,2.020890e-03,down,1.0000
FCHSD1,50,2.789890,0.000000,0.000000,2.767833e-01,up,1.0000
FCMR,50,0.747976,0.000000,0.000000,9.459921e-02,up,1.0000
FCN3,50,0.084139,0.000000,0.000000,2.951945e-01,up,1.0000
FCRLB,50,0.288214,0.000000,0.000000,5.040747e-03,up,1.0000
FDXR,50,0.491487,0.000000,0.000000,3.058596e-13,up,1.0000
FECH,50,0.399175,0.000000,0.000000,4.980987e-01,up,1.0000
FEN1,50,0.707418,0.000000,0.000000,9.187232e-02,up,1.0000
FER,50,-0.218805,0.000000,0.000000,1.339265e-11,down,1.0000
FERMT2,50,-0.723999,0.000000,0.000000,3.630831e-05,down,1.0000
FERMT3,50,0.266770,0.000000,0.000000,6.791008e-18,up,1.0000
FERRY3,50,0.369725,0.000000,0.000000,5.344174e-02,up,1.0000
FEZ1,50,-0.502566,0.000000,0.000000,8.368088e-02,down,1.0000
FEZ2,50,-0.134720,0.000000,0.000000,1.577961e-08,down,1.0000
FGD2,50,0.325280,0.000000,0.000000,4.862933e-02,up,1.0000
FGD3,50,0.694635,0.000000,0.000000,2.170797e-01,up,1.0000
FGD4,50,-0.588817,0.000000,0.000000,1.194603e-07,down,1.0000
FGD5,50,-0.776373,0.000000,0.000000,2.941366e-02,down,1.0000
FGF1,50,-1.055704,0.000000,0.000000,2.027204e-01,down,1.0000
FGF13,50,-0.802712,0.000000,0.000000,2.309899e-03,down,1.0000
FGF2,50,-0.781227,0.000000,0.000000,8.607245e-02,down,1.0000
FGF7,50,-0.274057,0.000000,0.000000,4.445603e-07,down,1.0000
FGF9,50,-0.191709,0.000000,0.000000,7.623455e-05,down,1.0000
FGFBP1,50,1.307530,0.000000,0.000000,1.190898e-05,up,1.0000
FGFBP2,50,-1.910017,0.000000,0.000000,1.039398e-01,down,1.0000
FGFBP3,50,-0.325826,0.000000,0.000000,8.179960e-02,down,1.0000
FGFR1,50,-0.645555,0.000000,0.000000,3.805228e-02,down,1.0000
FGFR2,50,-0.191126,0.000000,0.000000,8.664439e-10,down,1.0000
FGFRL1,50,-0.231719,0.000000,0.000000,1.103247e-01,down,1.0000
FGGY,50,-0.341435,0.000000,0.000000,3.235503e-02,down,1.0000
FGL2,50,-0.311668,0.000000,0.000000,1.061733e-10,down,1.0000
FH,50,0.216181,0.000000,0.000000,3.622275e-02,up,1.0000
FHDC1,50,0.806890,0.000000,0.000000,1.783570e-01,up,1.0000
FHIP1A,50,0.919809,0.000000,0.000000,1.773954e-01,up,1.0000
FHIP1B,47,-0.269170,0.000000,0.000000,4.174476e-02,down,1.0000
FHIP2A,50,-0.273489,0.000000,0.000000,7.227374e-19,down,1.0000
FHL1,50,-0.814013,0.000000,0.000000,3.419910e-38,down,1.0000
FHOD1,50,0.213523,0.000000,0.000000,1.474770e-01,up,1.0000
FHOD3,50,-0.663978,0.000000,0.000000,6.547623e-02,down,1.0000
FIBIN,50,-1.176168,0.000000,0.000000,3.782856e-02,down,1.0000
FIBP,50,0.158873,0.000000,0.000000,1.102524e-01,up,1.0000
FIGN,50,-0.648693,0.000000,0.000000,7.426521e-03,down,1.0000
FIGNL1,50,0.389499,0.000000,0.000000,1.257516e-01,up,1.0000
FILIP1,50,-1.350966,0.000000,0.000000,1.395665e-01,down,1.0000
FILIP1L,50,-0.379024,0.000000,0.000000,6.223883e-13,down,1.0000
FIRRM,50,0.400907,0.000000,0.000000,1.118843e-01,up,1.0000
FIS1,50,-0.177835,0.000000,0.000000,5.238006e-01,down,1.0000
FKBP1B,50,1.037572,0.000000,0.000000,1.452836e-01,up,1.0000
FKBP7,50,-0.750203,0.000000,0.000000,5.970125e-04,down,1.0000
FKBP9,50,-0.320322,0.000000,0.000000,5.967764e-03,down,1.0000
FKBPL,50,0.976494,0.000000,0.000000,2.484960e-02,up,1.0000
FKTN,47,-0.223777,0.000000,0.000000,7.894852e-07,down,1.0000
FLAD1,50,0.302684,0.000000,0.000000,1.385547e-12,up,1.0000
FLG2,50,-0.715479,0.000000,0.000000,6.677841e-16,down,1.0000
FLI1,49,-0.227712,0.000000,0.000000,8.371778e-09,down,1.0000
FLNA,50,-0.395975,0.000000,0.000000,3.571644e-16,down,1.0000
FLNB,50,-0.314943,0.000000,0.000000,1.937255e-06,down,1.0000
FLNC,50,-0.553031,0.000000,0.000000,1.634013e-01,down,1.0000
FLOT2,50,0.436204,0.000000,0.000000,2.182974e-02,up,1.0000
FLVCR2,50,2.433957,0.000000,0.000000,3.011497e-01,up,1.0000
FMN1,50,-0.328035,0.000000,0.000000,1.377347e-03,down,1.0000
FMNL1,50,0.285108,0.000000,0.000000,1.582141e-01,up,1.0000
FMNL2,50,0.253144,0.000000,0.000000,1.642346e-01,up,1.0000
FMNL3,0,0,0,0,1.0,none,0.0
FMO5,50,-0.890104,0.000000,0.000000,9.048902e-02,down,1.0000
FN1,50,-0.544371,0.000000,0.000000,2.780269e-25,down,1.0000
FNBP1,50,0.048685,0.000000,0.000000,6.908877e-01,up,1.0000
FNBP1L,50,-0.709835,0.000000,0.000000,1.349837e-03,down,1.0000
FNBP4,50,-0.184077,0.000000,0.000000,1.034244e-12,down,1.0000
FNDC10,50,0.339756,0.000000,0.000000,3.334745e-21,up,1.0000
FNDC3A,50,-0.260661,0.000000,0.000000,2.326929e-12,down,1.0000
FNDC5,50,-0.408638,0.000000,0.000000,5.049612e-04,down,1.0000
FNIP1,50,-0.375455,0.000000,0.000000,1.290828e-19,down,1.0000
FNIP2,50,-0.357398,0.000000,0.000000,3.159075e-22,down,1.0000
FNTB,50,-0.405946,0.000000,0.000000,1.025872e-01,down,1.0000
FOLH1,45,0.069328,0.000000,0.000000,7.378300e-06,up,1.0000
FOSL1,50,2.324042,0.000000,0.000000,1.897417e-01,up,1.0000
FOSL2,50,-0.219094,0.000000,0.000000,5.925239e-20,down,1.0000
FOXA1,50,-0.465570,0.000000,0.000000,7.221342e-02,down,1.0000
FOXC1,50,-1.188279,0.000000,0.000000,8.112644e-03,down,1.0000
FOXD1,50,-0.647598,0.000000,0.000000,5.176387e-03,down,1.0000
FOXE1,50,2.844418,0.000000,0.000000,2.792943e-01,up,1.0000
FOXI1,50,-0.253141,0.000000,0.000000,3.092755e-08,down,1.0000
FOXJ3,49,-0.263519,0.000000,0.000000,3.081223e-04,down,1.0000
FOXK1,50,-0.103354,0.000000,0.000000,6.774312e-01,down,1.0000
FOXM1,50,1.451596,0.000000,0.000000,8.499659e-02,up,1.0000
FOXN1,49,0.613575,0.000000,0.000000,1.340957e-01,up,1.0000
FOXN3,50,-0.291615,0.000000,0.000000,1.949769e-35,down,1.0000
FOXO1,50,-0.510436,0.000000,0.000000,1.167444e-31,down,1.0000
FOXO3,50,-0.191231,0.000000,0.000000,5.485054e-02,down,1.0000
FOXO4,49,-0.221202,0.000000,0.000000,5.078695e-01,down,1.0000
FOXO6,50,-0.121976,0.000000,0.000000,8.371032e-02,down,1.0000
FOXP1,46,-0.142948,0.000000,0.000000,1.318453e-08,down,1.0000
FOXP2,47,-0.308029,0.000000,0.000000,6.632850e-06,down,1.0000
FOXQ1,50,-0.384501,0.000000,0.000000,3.042079e-04,down,1.0000
FOXRED1,50,0.229526,0.000000,0.000000,7.100382e-02,up,1.0000
FOXRED2,50,0.692024,0.000000,0.000000,1.410417e-01,up,1.0000
FPR3,50,0.904279,0.000000,0.000000,1.297241e-01,up,1.0000
FRA10AC1,50,-0.292105,0.000000,0.000000,3.429321e-06,down,1.0000
FREM2,50,-1.256772,0.000000,0.000000,2.535949e-01,down,1.0000
FREM3,49,-0.141812,0.000000,0.000000,4.565948e-01,down,1.0000
FRMD3,50,-1.232031,0.000000,0.000000,4.101587e-02,down,1.0000
FRMD4A,50,-0.602068,0.000000,0.000000,1.179027e-04,down,1.0000
FRMPD1,50,0.562077,0.000000,0.000000,1.275042e-01,up,1.0000
FRYL,50,-0.313019,0.000000,0.000000,2.705607e-02,down,1.0000
FRZB,50,-1.094409,0.000000,0.000000,2.515491e-02,down,1.0000
FSBP,50,-0.249342,0.000000,0.000000,3.096007e-06,down,1.0000
FSCN1,50,0.563400,0.000000,0.000000,2.418456e-02,up,1.0000
FST,50,-1.496423,0.000000,0.000000,6.578465e-02,down,1.0000
FTO,50,-0.200075,0.000000,0.000000,4.138122e-03,down,1.0000
FTSJ1,50,0.357773,0.000000,0.000000,3.204185e-02,up,1.0000
FTSJ3,0,0,0,0,1.0,none,0.0
FUBP1,47,-0.294310,0.000000,0.000000,1.639410e-11,down,1.0000
FUNDC1,50,0.279040,0.000000,0.000000,9.092314e-02,up,1.0000
FURIN,50,0.416344,0.000000,0.000000,2.548148e-03,up,1.0000
FUT1,50,1.033551,0.000000,0.000000,8.154259e-02,up,1.0000
FUT2,50,1.682964,0.000000,0.000000,1.570843e-01,up,1.0000
FUT3,50,2.427165,0.000000,0.000000,2.421787e-01,up,1.0000
FUT6,50,0.200579,0.000000,0.000000,5.372416e-01,up,1.0000
FUT8,50,-0.618097,0.000000,0.000000,1.155439e-01,down,1.0000
FXR1,50,-0.270255,0.000000,0.000000,2.151044e-22,down,1.0000
FXYD1,50,-1.016831,0.000000,0.000000,1.950400e-02,down,1.0000
FXYD6,50,-1.127274,0.000000,0.000000,6.542002e-02,down,1.0000
FZD1,50,-0.610299,0.000000,0.000000,6.184218e-02,down,1.0000
FZD10,49,-0.306674,0.000000,0.000000,7.139023e-10,down,1.0000
FZD3,50,-0.439053,0.000000,0.000000,2.947440e-03,down,1.0000
FZD4,50,-0.658652,0.000000,0.000000,4.607069e-02,down,1.0000
FZD5,50,1.257225,0.000000,0.000000,2.193129e-01,up,1.0000
FZD7,50,-0.782499,0.000000,0.000000,5.639353e-03,down,1.0000
G0S2,50,-0.615629,0.000000,0.000000,4.749565e-03,down,1.0000
G2E3,50,-0.333932,0.000000,0.000000,3.171056e-11,down,1.0000
G6PC3,50,-0.209319,0.000000,0.000000,2.443429e-02,down,1.0000
GAB2,50,-0.367977,0.000000,0.000000,2.368400e-03,down,1.0000
GABARAPL1,50,-0.538316,0.000000,0.000000,2.245981e-03,down,1.0000
GABPB2,50,-0.351360,0.000000,0.000000,3.132440e-03,down,1.0000
GABRP,50,-1.098912,0.000000,0.000000,9.301791e-03,down,1.0000
GADD45A,50,0.367199,0.000000,0.000000,3.036241e-02,up,1.0000
GADD45G,50,-0.141750,0.000000,0.000000,1.062124e-05,down,1.0000
GAL,50,-2.683542,0.000000,0.000000,5.330498e-03,down,1.0000
GAL3ST4,50,-0.571982,0.000000,0.000000,1.138331e-01,down,1.0000
GALE,50,0.451495,0.000000,0.000000,1.609305e-01,up,1.0000
GALK1,47,0.171841,0.000000,0.000000,1.957150e-02,up,1.0000
GALK2,50,-0.046188,0.000000,0.000000,9.236512e-01,down,1.0000
GALNT10,47,-0.212928,0.000000,0.000000,3.488765e-04,down,1.0000
