cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
122,7,CCNQ|GTF2B|MPI|NDUFAB1|SWSAP1|UBAP1|VAMP7,2,2,2.0
123,8,AMPH|ARHGAP29|EPHX3|FOXM1|GPT|HMMR|MUC4|PLA2G3,1,2,1.6
124,5,COXFA4L3|CXCL17|CYP2C18|EPSTI1|MX2,2,2,2.0
125,35,AGAP4|ATP8B4|BANF1|CD59|CD69|CENPV|CLU|CPLANE1|DZANK1|EDNRA|ENPP3|FKTN|GPR137B|IFT172|IFT27|ILK|KCNAB2|LTBP2|MAFG|MTA1|NEBL|NRARP|NUMB|PALMD|PARVB|PODXL|PRB3|RET|S100PBP|SAT1|SPART|TMEM88|TNPO2|TRAM2|ZCCHC10,1,2,1.8
126,14,AQP11|C2CD5|CEP120|KCTD6|MGAT1|NIPSNAP3A|NUBPL|PLEKHM3|RNASEH2B|SLC9A8|TMEM106B|VAMP4|VILL|ZDHHC9,2,2,2.0
127,4,AAMDC|SPRY2|TGFBR3|TTC28,2,2,2.0
128,17,AGR3|AWAT1|CHRDL1|CIDEC|CYP4B1|DAZ4|HSD3B1|HSPB6|LGR5|LVRN|PLIN1|PM20D1|RBP4|SERPINA12|SHANK2|SLC25A18|SLC27A2,3,3,3.0
129,32,ANKRD33B|ATP6V0A4|BTBD16|BTC|C5orf46|CCL27|CRACR2A|ELOVL3|ERBB4|ESRRG|FABP7|FAR2|GAL|GTF2IRD2|HAO2|HMGCS2|HSD11B1|MACROD2|MSMB|MUC7|OSBPL2|PSMA5|SCGB2A1|SLC14A1|SLC60A1|STX3|TEFM|THRSP|TPPP|WDR72|WIF1|ZC3H8,2,2,2.0
130,6,FAM174C|FAM3D|GM2A|ORMDL2|SLC25A39|USP6NL,2,2,2.0
134,11,ABHD2|CYP4V2|FAM221A|KLF15|NHSL2|NR2F1|PCDH18|PRKAR2B|REPS2|SVBP|SVIP,2,2,2.0
136,5,CHDH|CNN1|MYRIP|NCS1|PRB1,2,2,2.0
137,1,PLGLB1,2,2,2.0
138,11,GAS2|L3MBTL4|MKLN1|OLFM2|OLFML1|OSGIN2|PNPLA7|PPARA|RABL2A|SOX9|VGLL3,2,2,2.0
139,27,ARHGAP18|BAG5|BLOC1S1|BMP4|FANCD2|FARP2|FOXI1|GPR155|KIF3A|KRT222|LIN7A|MAP2K5|MICAL1|MMRN2|NR1D2|PAN3|PELO|PGM2L1|PHLDA3|RAD50|RPH3AL|SCRN3|SIGIRR|TBC1D15|TJP2|ZC2HC1A|ZNF736,1,2,1.7
140,6,CCL19|CXCL6|GOLGA7B|IFT46|IRX4|TLN1,2,2,2.0
141,8,ACTA2|AKAP9|RAB11FIP5|SLC27A3|SPINK1|TBC1D1|TWIST1|VEZF1,2,2,2.0
142,19,ANO10|ARMCX6|CAPNS1|CD6|CSK|ELK4|FAHD1|FAM3C|HNRNPD|MBIP|METAP1|MOCS2|NIP7|OCRL|PGM1|PRKD3|S100A16|SPTSSA|TIPRL,1,2,1.6
145,12,AKAP1|BEAN1|FRYL|KAT6B|MEOX1|NAALAD2|PCSK5|PCTP|PGRMC2|SNX14|TLCD1|ZNF507,2,2,2.0
146,14,ATP5F1C|CALR|ERGIC2|ERI2|GALK2|GATC|KRTDAP|MED31|MRPS21|OSER1|PAXX|PRPF40A|RFC5|USP47,1,2,1.4
147,6,AK1|ATG4A|COPE|DYNLT1|PSMD2|PTGR1,2,2,2.0
149,14,ACTN1|ATP7A|CHST14|EZH1|LGALS3|LUC7L3|MEF2A|METTL23|MRNIP|RNF115|RPL32|TCEAL4|ZNF468|ZXDB,1,2,1.3
150,19,ABCA13|ACAA2|ACTA1|BAMBI|BHLHA15|CD200|CLDN11|CRISP2|GPAM|IGSF10|L3MBTL1|LDHD|OLAH|PSAPL1|SPOCK1|SVEP1|TNN|ULK4|UPB1,2,2,2.0
152,2,AGO3|RMP64,2,2,2.0
153,6,BTNL9|CFH|DMD|MEOX2|PECR|ZNF652,2,2,2.0
154,10,ADAP2|DEFB103A|DEPDC1B|IFI27|N4BP1|NDC80|PDSS1|PXMP4|SPRR3|SZT2,2,2,2.0
155,11,BAZ1A|GNPDA1|MIDN|NAGK|PDHB|RCE1|TKTL1|TRAPPC3|VPS33B|ZNF408|ZNF622,2,2,2.0
157,4,CSMD1|FAM193B|HSDL1|SNRNP27,2,2,2.0
158,9,ABT1|ACO2|ACVRL1|CHRNA5|FBXO25|KRT14|LSM12|NFKBIB|POLD2,1,3,2.1
159,17,CENPK|CNTNAP2|DHRS13|EGFL8|HEATR3|IRF1|KPTN|LRRC55|MREG|MROH6|MTG1|MXD1|PLAU|PRIM1|SLC23A1|SLC25A25|YOD1,2,2,2.0
161,9,BRWD1|CDK12|COBLL1|ENOSF1|FBXO22|IPO9|LPAR6|SKIC8|SSX2IP,2,2,2.0
162,13,ATP6V0E2|CADM2|CCN3|KLHL31|LIMS2|MFAP2|MPDZ|NHS|NRG3|PPP1R12B|PRMT2|SRSF4|USP51,2,2,2.0
163,15,ARMC10|CNIH4|DYM|EIF4E2|ICE1|MRPL42|NUDCD2|NUFIP1|NUP88|PPP2CA|PPP2R5C|PTDSS1|SLC49A4|SUPT7L|YIPF4,1,2,1.9
164,7,AMOTL2|FLI1|LHCGR|LIMD1|MSL2|TAF9B|TUT4,1,1,1.0
166,5,CARM1|HOXB4|NUDT16|SERPINB6|TMEM106A,2,2,2.0
167,5,C1GALT1C1L|EP400|ITFG1|POPDC1|PTGS1,2,2,2.0
168,24,AASS|ALYREF|CYP2E1|DOCK2|DPP3|GNLY|GTF2E2|HACD3|HAPLN3|IGSF6|IL18RAP|ITPKC|MBTD1|NMU|NOP2|REC8|SLA2|SLC16A10|SLC16A9|SPEF2|SRM|UCHL3|ULK3|ZNF639,1,3,2.2
170,2,DENND11|FHIP1B,2,2,2.0
